title,street,city,state,postal_code,country,lat,lng,categories
16156 - L G Bar,"National Highway 207, Hoskote, Hosakote taluk, Bengaluru North, Karnataka, 562114, India",Bengaluru,Karnataka,562114,India,13.0734708,77.7885573,shops
340 - M S wines,"Hosahalli, Hosakote taluk, Bengaluru North, Karnataka, 560117, India",Bengaluru,Karnataka,560117,India,12.9747472,77.8284377,shops
321 - Sai Venkateshwara Wines,"Dabaspete - Hosur Highway, Hoskote, Hosakote taluk, Bengaluru North, Karnataka, 562114, India",Bengaluru,Karnataka,562114,India,13.0703187,77.7870265,shops
42896 - Thirumala Wines,"Bellandur Main Road, Bellanduru, Bellandur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",Bengaluru,Karnataka,560103,India,12.9287494,77.6764141,shops
19946 - Durga spirits,"Bellandur Main Road, Bellanduru, Bellandur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",Bengaluru,Karnataka,560103,India,12.9288368,77.6764692,shops
41694 - GOLD HORSE SPRITS,"Sai Baba Mandira Road, Someshwarapura, Indiranagar, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008,India,12.9706751,77.633349,shops
12056 - TOXIC PUB AND KITCHEN,"Malabar Kitchen, Service Road, Green Glen Layout, Bellanduru, Bellandur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",Bengaluru,Karnataka,560103,India,12.925998,77.6759783,shops
2515 - Blue Land Wines,"Cherry Lane, Green Glen Layout, Bellandur, Bengaluru East City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560103, India",Bengaluru,Karnataka,560103,India,12.9272528,77.6698407,shops
11116 - All About Liquor - Hebbala,"Volkswagen, Service Road, Jogappa Layout, Kempapura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560024, India",Bengaluru,Karnataka,560024,India,13.0416717,77.5945611,shops
44720 - NA,"Avalahalli Main Road, Byrathi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560077, India",Bengaluru,Karnataka,560077,India,13.0560126,77.6528734,shops
41868 - AMULYA RELAX INN,"Bagalur Road, Dwaraka Nagar, Kogilu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560063, India",Bengaluru,Karnataka,560063,India,13.1213555,77.6183328,shops
44784 - Drops Bagalur,"Bagalur Road, Kogilu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560063, India",Bengaluru,Karnataka,560063,India,13.1221962,77.63097,shops
18134 - Star Amulya,"SpeedWorks Boulevard, Muthugadahalli, Beguru, Yelahanka taluku, Bengaluru Urban, Karnataka, 562149, India",Bengaluru,Karnataka,562149,India,13.1833526,77.6797491,shops
16796 - SHOBHA BAR,"Kadiganahalli, Vidyanagar, Yelahanka taluku, Bengaluru Urban, Karnataka, 562157, India",Bengaluru,Karnataka,562157,India,13.1600905,77.6290023,shops
1315 - Shobha Wines - Yelahanka,"Mrp Wine Shop, Sir MVIT College Road, Sonnappanahalli, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 562157, India",Bengaluru,Karnataka,562157,India,13.1524196,77.6171785,shops
